date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:37	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%2233c2800-1a-4a8a787408540%22	http://livedemo00.template-help.com/robots.txt		(from )
10:27:37	15094/15094	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Sep%202016%2015:27:18%20GMT	http://livedemo00.template-help.com/constrex_v1-2/	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/index.html	(from )
10:27:38	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:27:19%20GMT	http://livedemo00.template-help.com/constrex_v1-2/images/favicon.ico	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/images/favicon.ico	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:39	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:27:19%20GMT	http://livedemo00.template-help.com/constrex_v1-2/css/bootstrap.css	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/css/bootstrap.css	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:39	60593/60593	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2022%20Jul%202016%2020:31:54%20GMT	http://ajax.cloudflare.com/cdn-cgi/nexp/dok3v=0489c402f5/cloudflare.min.js	C:/My%20Web%20Sites/resertec/ajax.cloudflare.com/cdn-cgi/nexp/dok3v=0489c402f5/cloudflare.min.js	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:40	195029/195029	---MCZ	200	added ('OK')	text/css	etag:W/%2256f8f8ae-2f9d5%22	http://static.livedemo00.template-help.com/constrex_v1-2/css/bootstrap.css	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/css/bootstrap.css	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:40	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:27:20%20GMT	http://livedemo00.template-help.com/constrex_v1-2/css/camera.css	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/css/camera.css	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:40	5735/5735	---MCZ	200	added ('OK')	text/css	etag:W/%2256f8ed24-1667%22	http://static.livedemo00.template-help.com/constrex_v1-2/css/camera.css	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/css/camera.css	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:40	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:27:21%20GMT	http://livedemo00.template-help.com/constrex_v1-2/css/google-map.css	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/css/google-map.css	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:41	343/343	---MCZ	200	added ('OK')	text/css	etag:W/%2256f8ec5a-157%22	http://static.livedemo00.template-help.com/constrex_v1-2/css/google-map.css	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/css/google-map.css	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:41	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:27:21%20GMT	http://livedemo00.template-help.com/constrex_v1-2/css/mailform-sub.css	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/css/mailform-sub.css	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:41	17095/17095	---MCZ	200	added ('OK')	text/css	etag:W/%2256f8ed24-42c7%22	http://static.livedemo00.template-help.com/constrex_v1-2/css/mailform-sub.css	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/css/mailform-sub.css	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:41	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:27:22%20GMT	http://livedemo00.template-help.com/constrex_v1-2/css/search.css	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/css/search.css	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:42	8124/8124	---MCZ	200	added ('OK')	text/css	etag:W/%2256f8f052-1fbc%22	http://static.livedemo00.template-help.com/constrex_v1-2/css/search.css	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/css/search.css	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:42	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:27:22%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/jquery.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/jquery.js	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:43	95786/95786	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22551bfd7a-1762a%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/jquery.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/jquery.js	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:43	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:27:23%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/jquery-migrate-1.2.1.min.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/jquery-migrate-1.2.1.min.js	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:44	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:27:24%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/rd-smoothscroll.min.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/rd-smoothscroll.min.js	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:44	3254/3254	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22559e3270-cb6%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/rd-smoothscroll.min.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/rd-smoothscroll.min.js	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:44	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:27:25%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/device.min.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/device.min.js	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:45	3061/3061	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2253c66cb4-bf5%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/device.min.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/device.min.js	(from http://livedemo00.template-help.com/constrex_v1-2/)
10:27:45	22363/22363	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Sep%202016%2015:27:25%20GMT	http://livedemo00.template-help.com/constrex_v1-2/index-6.html	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/index-6.html	(from http://livedemo00.template-help.com/constrex_v1-2/)
